Date_Arrivee,ID_Residence
2024-05-01,Residence_5
2024-05-01,Residence_14
2024-05-01,Residence_3
2024-05-01,Residence_22
2024-05-01,Residence_16
2024-05-01,Residence_24
2024-05-01,Residence_25
2024-05-01,Residence_17
2024-05-01,Residence_1
2024-05-01,Residence_24
2024-05-02,Residence_11
2024-05-02,Residence_7
2024-05-02,Residence_18
2024-05-02,Residence_10
2024-05-02,Residence_22
2024-05-02,Residence_3
2024-05-02,Residence_22
2024-05-02,Residence_19
2024-05-02,Residence_9
2024-05-02,Residence_13
2024-05-02,Residence_6
2024-05-02,Residence_25
2024-05-02,Residence_23
2024-05-02,Residence_10
2024-05-02,Residence_23
2024-05-02,Residence_22
2024-05-02,Residence_9
2024-05-02,Residence_3
2024-05-02,Residence_20
2024-05-02,Residence_13
2024-05-02,Residence_8
2024-05-02,Residence_13
2024-05-02,Residence_4
2024-05-02,Residence_19
2024-05-02,Residence_12
2024-05-02,Residence_22
2024-05-02,Residence_3
2024-05-02,Residence_6
2024-05-03,Residence_6
2024-05-03,Residence_18
2024-05-03,Residence_18
2024-05-03,Residence_23
2024-05-03,Residence_21
2024-05-03,Residence_13
2024-05-03,Residence_16
2024-05-03,Residence_15
2024-05-03,Residence_9
2024-05-03,Residence_6
2024-05-03,Residence_11
2024-05-03,Residence_22
2024-05-03,Residence_16
2024-05-03,Residence_7
2024-05-03,Residence_23
2024-05-03,Residence_4
2024-05-04,Residence_21
2024-05-04,Residence_14
2024-05-04,Residence_5
2024-05-04,Residence_2
2024-05-04,Residence_21
2024-05-04,Residence_19
2024-05-04,Residence_11
2024-05-04,Residence_2
2024-05-04,Residence_18
2024-05-04,Residence_16
2024-05-04,Residence_21
2024-05-04,Residence_27
2024-05-04,Residence_15
2024-05-04,Residence_4
2024-05-04,Residence_4
2024-05-04,Residence_8
2024-05-04,Residence_9
2024-05-04,Residence_5
2024-05-04,Residence_12
2024-05-04,Residence_17
2024-05-04,Residence_4
2024-05-04,Residence_19
2024-05-04,Residence_26
2024-05-04,Residence_25
2024-05-04,Residence_25
2024-05-04,Residence_17
2024-05-04,Residence_2
2024-05-05,Residence_5
2024-05-05,Residence_6
2024-05-05,Residence_19
2024-05-05,Residence_19
2024-05-05,Residence_7
2024-05-05,Residence_5
2024-05-05,Residence_20
2024-05-05,Residence_15
2024-05-05,Residence_16
2024-05-05,Residence_24
2024-05-06,Residence_18
2024-05-06,Residence_27
2024-05-06,Residence_11
2024-05-06,Residence_2
2024-05-06,Residence_17
2024-05-06,Residence_2
2024-05-06,Residence_15
2024-05-06,Residence_19
2024-05-06,Residence_6
2024-05-06,Residence_12
2024-05-06,Residence_9
2024-05-06,Residence_22
2024-05-06,Residence_8
2024-05-06,Residence_17
2024-05-06,Residence_18
2024-05-06,Residence_2
2024-05-06,Residence_27
2024-05-06,Residence_19
2024-05-06,Residence_4
2024-05-06,Residence_22
2024-05-06,Residence_21
2024-05-06,Residence_3
2024-05-07,Residence_20
2024-05-07,Residence_1
2024-05-07,Residence_12
2024-05-07,Residence_21
2024-05-07,Residence_18
2024-05-07,Residence_3
2024-05-07,Residence_15
2024-05-07,Residence_14
2024-05-07,Residence_1
2024-05-07,Residence_20
2024-05-07,Residence_12
2024-05-08,Residence_9
2024-05-08,Residence_24
2024-05-08,Residence_15
2024-05-08,Residence_20
2024-05-08,Residence_15
2024-05-08,Residence_11
2024-05-08,Residence_4
2024-05-08,Residence_17
2024-05-08,Residence_20
2024-05-08,Residence_4
2024-05-08,Residence_13
2024-05-08,Residence_19
2024-05-08,Residence_8
2024-05-09,Residence_15
2024-05-09,Residence_15
2024-05-09,Residence_21
2024-05-09,Residence_3
2024-05-09,Residence_10
2024-05-09,Residence_15
2024-05-09,Residence_18
2024-05-09,Residence_22
2024-05-09,Residence_6
2024-05-09,Residence_9
2024-05-09,Residence_21
2024-05-09,Residence_17
2024-05-09,Residence_7
2024-05-09,Residence_16
2024-05-09,Residence_24
2024-05-09,Residence_1
2024-05-09,Residence_25
2024-05-09,Residence_9
2024-05-09,Residence_14
2024-05-09,Residence_4
2024-05-09,Residence_23
2024-05-09,Residence_3
2024-05-09,Residence_12
2024-05-09,Residence_9
2024-05-09,Residence_5
2024-05-09,Residence_17
2024-05-09,Residence_19
2024-05-10,Residence_19
2024-05-10,Residence_2
2024-05-10,Residence_16
2024-05-10,Residence_23
2024-05-10,Residence_17
2024-05-10,Residence_12
2024-05-10,Residence_7
2024-05-10,Residence_19
2024-05-10,Residence_24
2024-05-10,Residence_24
2024-05-10,Residence_6
2024-05-10,Residence_17
2024-05-10,Residence_6
2024-05-10,Residence_3
2024-05-10,Residence_4
2024-05-10,Residence_22
2024-05-10,Residence_7
2024-05-10,Residence_6
2024-05-10,Residence_11
2024-05-10,Residence_22
2024-05-11,Residence_1
2024-05-11,Residence_17
2024-05-11,Residence_7
2024-05-11,Residence_1
2024-05-11,Residence_2
2024-05-11,Residence_1
2024-05-11,Residence_2
2024-05-11,Residence_1
2024-05-11,Residence_24
2024-05-11,Residence_4
2024-05-11,Residence_17
2024-05-11,Residence_20
2024-05-11,Residence_20
2024-05-11,Residence_26
2024-05-11,Residence_20
2024-05-11,Residence_22
2024-05-11,Residence_10
2024-05-11,Residence_17
2024-05-11,Residence_18
2024-05-11,Residence_15
2024-05-11,Residence_8
2024-05-12,Residence_8
2024-05-12,Residence_25
2024-05-12,Residence_13
2024-05-12,Residence_12
2024-05-12,Residence_12
2024-05-12,Residence_27
2024-05-12,Residence_19
2024-05-12,Residence_2
2024-05-12,Residence_7
2024-05-12,Residence_13
2024-05-12,Residence_3
2024-05-12,Residence_14
2024-05-12,Residence_6
2024-05-12,Residence_13
2024-05-12,Residence_12
2024-05-12,Residence_5
2024-05-12,Residence_12
2024-05-12,Residence_27
2024-05-12,Residence_12
2024-05-12,Residence_23
2024-05-12,Residence_26
2024-05-12,Residence_18
2024-05-12,Residence_26
2024-05-12,Residence_14
2024-05-12,Residence_5
2024-05-12,Residence_15
2024-05-12,Residence_9
2024-05-12,Residence_1
2024-05-12,Residence_2
2024-05-13,Residence_23
2024-05-13,Residence_3
2024-05-13,Residence_2
2024-05-13,Residence_5
2024-05-13,Residence_5
2024-05-13,Residence_18
2024-05-13,Residence_9
2024-05-13,Residence_14
2024-05-13,Residence_23
2024-05-13,Residence_6
2024-05-13,Residence_25
2024-05-13,Residence_26
2024-05-13,Residence_24
2024-05-13,Residence_13
2024-05-13,Residence_6
2024-05-13,Residence_7
2024-05-13,Residence_16
2024-05-13,Residence_3
2024-05-13,Residence_2
2024-05-13,Residence_9
2024-05-13,Residence_9
